,id,skills,edu_1,edu_2,edu_3,org_1,org_2,org_3,org_4,organization_title_1,label
267,erinboehmer,Java JavaScript Python Programming Language PHP MySQL XML AngularJS SQL Git Linux HTML Machine Learning Data Analysis Databases Programming CSS Leadership C Project Management Python Statistics Data Visualization Data Science Hadoop R Analytics Android Mobile Applications CakePHP djs STK                     ,"Master of Information and Data Science, Data Science University of California, Berkeley","Systems Engineering, Computer Science (Double Major) University of Virginia",Valedictorian Chatham High School,Senior ML Engineer II Carta,Senior ML Engineer Carta,Senior Data Scientist Carta,Lead Data Scientist Fenix International,Senior ML Engineer II,1
268,ibobak,Java Python Programming Language SQL Git Machine Learning Software Development Scala Databases Algorithms Hive R Microsoft SQL Server Apache Spark PySpark Apache Spark ML Extract Transform Load ETL Data Warehousing Artificial Intelligence C Visual Studio ScikitLearn Feature Engineering Business Intelligence NET Framework ASPNET Spring Boot Database Design XGBoost SQL Server Integration Services SSIS SQL Server Analysis Services SSAS Pandas Cassandra NET ETL Elasticsearch TransactSQL TSQL Play Framework SSIS Analysis Services OLAP TSQL LightGBM MS Integration Services NET CLR      ,"MS, Applied Mathematics Ivan Franko National University of Lviv",Gold Medal Gymnasium #21 Lutsk, ,Lead ML Engineer Loóna,Data Scientist EPAM Systems,Lead Software Engineer EPAM Systems,"Lead Software Engineer, BI/DW Architect BIT Impulse LLC",Lead ML Engineer,1
269,adam-alpire,Java JavaScript MySQL HTML SQL Git Linux Machine Learning Software Development Databases CSS Python Data Science Data Analytics Apache Spark TensorFlow Keras Big Data Cloud Computing Agile Methodologies Amazon Web Services AWS Apache Kafka Web Services Kubernetes Docker Entrepreneurship Apache Ambari Continuous Integration Web Programming Ingeniera de software Desarrollo de software CCNA                    ,Master's Degree in Data Mining and Distributed Systems for Really Big Data KTH Royal Institute of Technology,Master's Programme in ICT Innovation: Data Science (EIT Digital Master School) Universidad Politécnica de Madrid,Bachelor's degree in Computer Science and engineering Universidad Politécnica de Madrid,Senior Data/ML Engineer Siemens,Data Scientist Siemens,Data Science Intern RISE SICS,Freelance Software Engineer freelance,Senior Data/ML Engineer,1
270,iqra-shahzad-3a1111b3,Python Programming Language Machine Learning Programming Teamwork Public Speaking Python Natural Language Processing NLP Data Analytics Computer Vision Artificial Intelligence AI Research PyTorch Keras Amazon Web Services AWS Engineering Communication Systems                                    ,"Bachelor's degree, Electrical Engineering The University of Queensland", , ,Data and ML Engineer Intellify,Machine Learning Engineer Max Kelsen,Machine Learning Engineer Popgun Labs, ,Data and ML Engineer,1
271,vaishnavi-saravanan-254981152,C Big Data Analytics Machine Learning Problem Solving Microsoft Office Leadership Public Speaking Python Data Mining Natural Language Processing NLP Data Visualization Hadoop Hive Apache Pig R Tableau Time Series Analysis Artificial Intelligence AI Microsoft Power BI Business Intelligence BI                                ,"Integrated Masters degree, Data Science Coimbatore Institute of Technology"," Bharathi Vidya Bhavan, Erode", ,AI/ML Engineer  Bosch Engineering and Business Solutions,Data Science Intern Bosch Engineering and Business Solutions,Internship Co ordinator Coimbatore Institute of Technology,Data Science Intern Bosch Engineering and Business Solutions,AI/ML Engineer ,1
272,danila-ukader-672628127,SQL Microsoft Word Microsoft Excel Python Statistics PowerPoint    Mixpanel                                          ,"Бакалавр, Математика и экономика Higher School of Economics","Bachelor's degree, Mathematics and Economics University of London","Магистр, Финансовые технологии и анализ данных Higher School of Economics",Junior ML Engineer DemandTec by Acoustic,Product Analyst Gett, , ,Junior ML Engineer,1
273,mehmet-solmaz-b1656652,Python Programming Language SQL Machine Learning Deep Learning Python Data Visualization Data Science Image Processing Matlab OpenCV Computer Vision Cluster Analysis CUDA Labview Eye Tracking Microfabrication Optical Microscopy Optical Engineering Lithography Optical Tweezers Optical Waveguides Miniaturized Optical Component Development                              ,"Doctor of Philosophy (Ph.D.), Electrical Engineering Texas A&M University","Bachelor of Science (BS), Microelectronics Sabanci University",High School Izmir Fen Lisesi,ML Engineer Intel Corporation,Postdoctoral Scholar Stanford University School of Medicine,Instructor Izmir Katip Celebi University,Postdoctoral Research Associate University of Southern California,ML Engineer,1
274,ankit-sharma-08b07a120,Python Programming Language Machine Learning C Deep Learning Data Structures Algorithms Amazon Web Services AWS Networking c machine learning Data analyst python High Technical Aptitude commnication skills                                      ,"Bachelor of Technology - BTech, Computer Science Jaipur National University", , ,AI/ML Engineer Accenture AI,Software Engineer- Big Data Accenture AI,DevOps Engineer  xFusion Corp Industries,Data Scientist J.P. Morgan,AI/ML Engineer,1
275,syed-kausain-mehdi,Python Programming Language Machine Learning ObjectOriented Programming OOP Data Science Computer Vision ASPNET Database Management System DBMS Adaptive Learning Strategic Communications interpersonal Influence                                          ,"Electrical Engineering, Computer Engineering National University of Computer and Emerging Sciences", , ,Associate ML Engineer ADDO AI,Computer Vision Engineer OMNO AI,Internship Pakistan Institue Of Nuclear Science And Technology (PINSTECH), ,Associate ML Engineer,1
276,ivy-yenho-lai,Python Programming Language SQL Git Microsoft Word Data Engineering Machine Learning Data Analysis Microsoft Office Teamwork Leadership Project Management MongoDB Microsoft Excel Microsoft PowerPoint Deep Learning Algorithms Data Mining Natural Language Processing NLP Statistics Data Visualization Data Science Data Analytics Predictive Modeling R Tableau Time Series Analysis Statistical Data Analysis Statistical Modeling Microsoft Power BI Mathematical Modeling Docker Products Matplotlib Pandas Software NumPy Spark ScikitLearn Neural Networks Teaching Convolutional Neural Networks CNN Presentations SciPy Probability Theory          ,"Bachelor's degree, Applied Mathematics University of California, Los Angeles",Data Science Galvanize Inc, ,Data/ML Engineer Cognoa,"Senior Data Analyst, Onboarding AuditBoard","Data Analyst, Onboarding AuditBoard",Business Analyst Intern Ubiqconn Technology,Data/ML Engineer,1
277,chaitu-shantharam-0928182a,Python SAP ERP Data Migration SAP HANA SAP BI Solution Architecture Business Objects Integration SAP ABAP SAP ABAP SAP Implementation SAP BPC SAP Netweaver SAP FICO SAP SCM SAP Portal Logistics SAP R SAP BO SAP CATS SAP Plant Maintenance Mercury Quality Center SAP FICO HR and Logistics interaction with BI SAP BO Business Objects SAP XEMEPM SAP COPA                        , Jawahar Navodaya Vidyalaya, , ,ML Engineer Shell,Data and DevOps Engineer Zalando SE,Data Engineer Arla Foods,BI Solution Architect and SQL Developer Howdens Joinery Co,ML Engineer,1
278,vaidyasejal,SQL Data Engineering Machine Learning Python Data Science Apache Spark DevOps Big Data Distributed Systems Amazon Web Services AWS Serverless Computing NoSQL MLOps Flask Docker Microservices SDLC Oracle ETL Data Architecture Apache Airflow Terraform Continuous Integration and Continuous Delivery CICD                             ,"Bachelor of Science (B.Sc.), Information Technology University of Mumbai", , ,Data/ML Engineer Temedica,Data Engineer Freeletics,Senior Data Engineer / Consultant Multiple Startups,Senior Software Engineer LexisNexis Risk Solutions,Data/ML Engineer,1
279,john-chung-b9170014,Java C JavaScript Nodejs SQL Web Development Data Engineering Data Analysis Software Development C Software Development Life Cycle SDLC Project Management Expressjs Python Scrum Apache Spark Big Data Agile Methodologies Amazon Web Services AWS Django Web Applications NoSQL Flask Databricks Google Cloud Platform Product Development Financial Advisory                         ,"Master's Degree, Computer Science Columbia University in the City of New York", Northwestern University,"Bachelor's Degree, Economics, Mathematics minor Wisconsin School of Business",ML Engineer Elpha Secure,Software Engineer Moody's Analytics,Manager Ernst & Young,Senior Consultant Deloitte,ML Engineer,1
280,arnaldo-neto-778980169,JavaScript Nodejs HTML Microsoft Office CSS Python AutoCAD Data science Aspen Plus Capacidade analtica Oratria ESL Ingls como segunda lngua Anlise qumica Engenharia Qumica Otimizao de processos Programao Resoluo de problemas Trabalho em equipe Engenharia Computational fluid dynamics Trabalho em equipa Ingls Habilidades de apresentao Simulao de processos Design de processos Qumica Computer aided engineering Software de simulao de processos Penetration testing Cyber security Neural networks Liderana                    ,"Integrated Masters (Processes and Products branch), Chemical Engineering Faculdade de Engenharia da Universidade do Porto","Erasmus+ Programme, Chemical Engineering Wroclaw University of Science and Technology","Bachelor's degree (BSc), Chemical Engineering Instituto Superior de Engenharia do Porto",ML Engineer DataHow AG,Master's thesis INL  - International Iberian Nanotechnology Laboratory,Social media Responsible Board of European Students of Technology,Online activities Coordinator Board of European Students of Technology,ML Engineer,1
281,athar-sayed-93881589,SQL Machine Learning Data Analysis Deep Learning Python Data Structures Algorithms Natural Language Processing NLP Data Science Computer Vision TensorFlow PyTorch Keras Matplotlib NumPy ScikitLearn Writing Seaborn SciPy pandas                                ,"Bachelor’s Degree, Computer Science Anjuman-I-Islams M.H. Saboo Siddik College of Engineering 8-Shephard Road Mumbai 400 008", , ,AI / ML Engineer Direction Software LLP,Software Developer Codalyze Technologies,Data Analyst Hotstar,Data Scientist Codalyze Technologies,AI / ML Engineer,1
282,damienbeneschi,Git Python Photoshop Renewable Energy Data science Gestion de projet GIS nergie renouvelable nergie                                           ,"Data Scientist (Python), Data Science, Machine Learning, Python Programming DataCamp","General Engineering, Environmental Engineering - International Project Management CentraleSupélec","Erasmus Exchange Semester - February to June 2012 - 30 ECTS, General & Environmental Economics Budapest University of Technology and Economics",Senior ML Engineer Shares,Head of Data Science NorthGravity,Data Scientist NorthGravity,Energy Project Engineer Seureca,Senior ML Engineer,1
283,akshay-gaikwad-891204107,Java C SQL Linux HTML Machine Learning C Deep Learning Python Algorithms Natural Language Processing NLP Statistics TensorFlow Distributed Systems Android Development ScikitLearn Vim                                   ,"Master of Technology (M.Tech.), Computer Science IIT Madras","Bachelor of Engineering - BE, Information Technology Pune Institute of Computer Technology", ,Senior ML Engineer  VerSe Innovation,Data Scientist Loylty Rewardz Mngt Pvt Ltd,Data Scientist Indus OS,Software Developer Indus OS,Senior ML Engineer ,1
284,benhorsburgh,Java JavaScript MySQL SQL Linux HTML Machine Learning Data Analysis Scala Programming Project Management Computer Science Python Algorithms Scrum Data Mining Statistics Data Science Hadoop Hive Research Management Apache Spark Strategy Digital Signal Processors LaTeX Artificial Intelligence HTML jQuery NumPy Spark PhoneGap Information Retrieval Pandas Recommender Systems Testing Mentoring Ecommerce Impala jQuery Mobile CSS Music Theory PHP Music Information Retrieval        ,"Bachelor of Science (BSc) (Hons), Computer Science Robert Gordon University","DipLCM, Classical Guitar London College of Music", Mackie Academy,Principal ML Engineer QuantumBlack,Jr Principal ML Engineer QuantumBlack,"Senior Machine Learning Engineer - Search, Recommendation & Personalisation Argos",Senior Data Scientist SmartFocus,Principal ML Engineer,1
285,varun-singh-3000,Java Python Programming Language Microsoft Word Machine Learning C Programming Language Microsoft Excel Microsoft PowerPoint Data Mining Tableau Computer Vision PyTorch                                         ,"Bachelor's degree, Computer Engineering Xavier Institute Of Engineering", , ,Framework Engineer (ML Engineer) Quantiphi,Framework Engineer Intern Quantiphi,Data Science Intern M Intellect Global, ,Framework Engineer (ML Engineer),1
286,evgenyeltyshev,Java SQL Machine Learning C Python Statistics Data Science Discrete Mathematics Multithreading                                           ,"Master's degree, Computer Science Moscow Institute of Physics and Technology (State University) (MIPT)","Master's degree, Big Data Yandex School of Data Analysis","Bachelor's Degree, Computer Science Moscow Institute of Physics and Technology (State University) (MIPT)",Senior ML Engineer Twitter,Software Engineer Google,Senior Machine Learning Engineer Cognive,Machine Learning Engineer Yandex,Senior ML Engineer,1
287,maryamrahbari,Java Python Programming Language SQL python Project Management Predictive Modeling R Tableau Management SAS MicroStrategy Statistical                                        ,"Master's degree, Industrial Engineering (Operations Research, Data Modeling) Concordia University","Bachelor's degree, Industrial Engineering (Systems & Analytics) Amirkabir University of Technology - Tehran Polytechnic", ,Senior ML Engineer Healthcare,Senior ML Engineer Allstream,Senior Data Scientist TD,Lead Data Engineer Bell,Senior ML Engineer,1
288,niranjan-sridhar-0620799,SQL Machine Learning Data Analysis Science Programming Microsoft Office C Deep Learning Python Algorithms Statistics R Time Series Analysis Statistical Modeling Matlab Research Mathematica Bayesian statistics TensorFlow LaTeX Physics Quantum Computing Signal Processing Probability Theory Multivariable Calculus Photonics Optics Quantum Optics Quantum Information Data Acquisition Feedback Control Systems Nonlinear Analysis Fourier Analysis                   ,"Doctor of Philosophy (Ph.D.), Physics (Q Optics, Q Information and Q Computing) University of Virginia","Bachelor of Technology (BTech), Engineering Physics Indian Institute of Technology, Bombay", ,ML Engineer Verily Life Sciences,Quantitative Analyst Google,Research Assistant University of Virginia,Co Founder Laugh Out Loud Ventures,ML Engineer,1
289,anton-schädlich,Java C SQL Linux Machine Learning Teamwork C Python Arduino Github Data Science Marketing Natural Language Processing Docker Raspberry Pi Pytorch Tensorflow Datenanalyse ffentlichkeitsarbeit Unternehmensstrategie Datenbanken OracleDatenbank Softwareentwicklung ComputerVision                            ,"Master of Science - MS, Computer Science Technische Universität Chemnitz","Bachelor of Arts - BA, Social Sciences and Politics Maastricht University", ,Data & ML Engineer LabTwin,Machine Learning Engineer  Helix Cognitive Computing GmbH,Master Thesis Project in NLP  Satz Rechenzentrum Berlin ,Marketing Data Analyst Webtrekk GmbH,Data & ML Engineer,1
290,abhijeet-ghosh42,Java python Data Science Android Development Internet of Things IoT                                               ,"Bachelor of Technology - BTech, Computer Science Engineering Navrachana University","Internet Of Things, Study of practical IOT and integrating them with machine learning software and firebase IBM IOT iCat3 Program","Professional Android developer, Computer Programming APTECH Computer Education",Ai-ML Engineer Vadict Innovations Pvt. Ltd.,Junior Software Engineer Profitfolio,AI Engineer Xcitech Technologies,Data Science Intern Xcitech Technologies,Ai-ML Engineer,1
291,sandeep-sreenivasan-7877ab92,C HTML Microsoft Word Machine Learning Data Analysis Microsoft Azure English Microsoft Office Teamwork C Microsoft Excel Deep Learning Python Statistics PowerPoint Matlab Critical Thinking Artificial Intelligence Windows Neural Networks Photoshop Convolutional Neural Networks CNN                              ,"Bachelor of Technology (B.Tech.), ECE SASTRA UNIVERSITY",plus two SBOA Matriculation high sec school, ,Senior AI/ML Engineer Ignitarium Technology Solutions Pvt Ltd,ML Engineer Ignitarium Technology Solutions Pvt Ltd,Senior Software Engineer(AI)  Tata Elxsi,Software Engineer(AI) Tata Elxsi,Senior AI/ML Engineer,1
292,pavitra-m-089b51105,Java Python Programming Language SQL Linux Big Data Analytics Machine Learning Software Development Scala Databases Microsoft Office Leadership C MongoDB Microsoft Excel Deep Learning Python Data Mining Natural Language Processing NLP Data Science Data Analytics Hadoop Hive HBase Apache Pig R Tableau Artificial Intelligence AI Apache Spark TensorFlow MapReduce Software Quality Assurance NoSQL Business Intelligence Text Mining IBM DB Information Extraction                ,"Master of Applied Computing, Computer Science University of Windsor","Bachelor of Technology - BTech, Computer Science specialization in Big Data and Analytics Ganpat University", ,NLP/ML Engineer Wysdom.AI,"Developer, Investment Analyst RBC",Data Scientist CEEI - Catallyst Executive Education Institute,R&D and Data Analytics Program Value HR E-Solution,NLP/ML Engineer,1
293,juraj-hresko-52b41839,Java MySQL SQL Git Linux Machine Learning Software Development Problem Solving Programming Microsoft Office ObjectOriented Programming OOP Computer Science Python Data Mining Data Science Computer Vision Artificial Intelligence AI Research Management Apache Shell Scripting LaTeX OOP Maven Pattern Recognition Natural Language Processing UML Bash Tomcat Jenkins Subversion OS X Vim Clojure                  ,"Bachelor's degree, International Relations and Security Studies Masaryk University Brno","Master's degree, Applied Informatics Masaryk University Brno", ,"Software Developer, ML Engineer IVADO Labs",Software developer Morgan Stanley,Research Programmer Seznam.cz,"Java Developer ecommerce.cz, a. s.","Software Developer, ML Engineer",1
294,apoorvajaiswal,Java C JavaScript PHP Cascading Style Sheets CSS SQL Web Development Git HTML Machine Learning C Programming Language Programming Public Speaking C Python Data Structures Algorithms Github Team Leadership Amazon Web Services AWS Android Development C Writing Presentations Mobile Applications Android Studio Jenkins Website Creation                        ,Mathematics for Machine Learning Centre for Continuing Education at Indian Institute of Science (IISc),"Bachelor of Engineering (B.E.), Computer Science Visvesvaraya Technological University", ,Associate ML Engineer JPMorgan Chase & Co.,Associate Software Engineer JPMorgan Chase & Co.,Software Engineer JPMorgan Chase & Co., ,Associate ML Engineer,1
295,shailja-atkotiya,Java C Python Programming Language SQL HTML Microsoft Word Microsoft Office Leadership Public Speaking C Microsoft Excel Microsoft PowerPoint Deep Learning Data Mining Statistics Data Science Logistic Regression Artificial Neural Networks Management Regression Analysis Supervised Learning naive Bayes Correlation Analysis                             ,"Bachelor of Engineering, Computer Engineering Government Engineering College, Rajkot","Nanodegree, Artificial Intelligence Udacity",A Group Shakti higher secondary school,AI ML Engineer Weboccult,"Volunteer GOVERNMENT ENGINEERING COLLEGE, RAJKOT 020", , ,AI ML Engineer,1
296,jackyyu,Java C JavaScript MySQL SQL Linux Machine Learning Data Analysis Software Development Databases Problem Solving Programming C Project Management Computer Science Deep Learning Python Algorithms Data Mining ElasticSearch R Software Documentation Management Microsoft SQL Server Apache Spark Amazon Web Services AWS Software Engineering Artificial Intelligence Web Applications ScikitLearn Feature Engineering RESTful WebServices Kubernetes Docker Training ERP Embedded Software Programming Search              ,"Doctor of Philosophy (Ph.D.), computer science University of Massachusetts Boston","MBA, Information System University of Massachusetts Boston","Bachelor of Engineering (BE), Information and Computer Engineering Chung Yuan Christian University",Principal ML Engineer Coupang,Sr. Machine Learning Engineer PlayStation,Software Engineer Quixey,Visiting Research Scientist TCL Multimedia,Principal ML Engineer,1
297,arunkumar-puppala-b853965,Java C JavaScript PHP MySQL AngularJS Nodejs SQL Linux Machine Learning Software Development Databases MongoDB Python Algorithms Scrum Data Mining Hadoop HBase R Apache Spark Distributed Systems Agile Methodologies MapReduce Amazon Web Services AWS Android Development jQuery Web Services Web Applications NoSQL AJAX Perl PhoneGap Mobile Applications Natural Language Processing Docker Design Patterns Web Analytics REST Jenkins Ruby Redis Scalability HTML CSS Backbonejs Robot Programming AB testing Vagrant Emberjs Hadoop Pig ,"MS, Computer Science Oregon State University","BS, Computer Science International Institute of Information Technology", Space Central School,"Senior ML Engineer, AI/ML Platform (Data Science Workspace) Adobe","Principal Data Scientist/Engineer, Data Science & Engineering Tile",Sr Staff Engineer Samsung Research America,Sr Software Engineer Yahoo,"Senior ML Engineer, AI/ML Platform (Data Science Workspace)",1
298,robinrajsb,Python Programming Language python HTML Machine Learning Data Analysis Programming Adobe Photoshop Adobe Premiere Pro Computer Science Flutter Adobe Illustrator Computer Vision Artificial Intelligence AI Anaconda Data Modeling Android Development Pandas Software Flask Robotics Microsoft Power Automate Adobe XD Data Entry Video Production PowerBi YouTube Aftereffects                          ,"Bachelor of Technology - BTech, Computer Science St.Thomas Institute for Science & Technology","Higher Secondary , Computer Science St. John's Model Higher Secondary School"," St.Mary's Higher Secondary School, Pattom",AI/ML Engineer EY, , , ,AI/ML Engineer,1
299,camelia-oancea-003a752,Python Programming Language Machine Learning English Teamwork Deep Learning R Analytical Skills Analysis Microsoft SQL Server Business Strategy Marketing Quantitative Analytics Negotiation Human Resources Marketing Strategy Change Management Psychological Assessment French Romanian                                 ,"Doctor of Philosophy (PhD), Industrial and Organizational Psychology Birkbeck, University of London","Master, Management Communication SNSPA", ,AI | ML Engineer Airbus,Senior Data Scientist E.ON,Data Science A&D Pharma,Marketing / Research  Repower,AI | ML Engineer,1
300,rogulenkosv,Java C JavaScript Web Development Git HTML Software Development Programming CSS C ObjectOriented Programming OOP Computer Science Algorithms Distributed Systems Software Engineering Go                                    ,"Master's Degree, Mathematics and Computer Science Lomonosov Moscow State University (MSU)", , ,AI/ML Engineer Apple,Software Engineer Laserlike Inc,Software Engineer Google,Software Engineer Genotek,AI/ML Engineer,1
301,deynard,Java C PHP MySQL Web Development Linux Machine Learning Software Development Programming Computer Science Python Algorithms Data Mining Image Processing Matlab Computer Vision Research Mathematical Modeling Distributed Systems Software Engineering LaTeX Artificial Intelligence Eclipse Software Design Perl Pattern Recognition Natural Language Processing Bash PostgreSQL Text Mining Information Retrieval Semantic Web Ontologies Open Source Software Information Extraction x Assembly Scientific Computing Reverse Engineering Open Source Semantic Technologies RDF Acrobatics Folksonomy         ,"PhD, Computer Engineering Politecnico di Milano","Kamikaze, Acrobatics Piccola Scuola di Circo", ,Sr. ML Engineer Twitter,Lecturer and Researcher University of Lugano,"Tech Lead Fabula AI - solving fake news, for good",Senior Researcher University of Lugano,Sr. ML Engineer,1
302,kiwoong-yeom,Machine Learning Data Analysis Python Research PyTorch NumPy NLP Optimization HR         SelfMotivation                                  , , , ,Founder and ML Engineer ForUS.AI,Youtuber YouTube,NLP Engineer Humelo, ,Founder and ML Engineer,1
303,wangpidong,Java C Python Programming Language Linux Machine Learning Software Development Programming C Computer Science Python Algorithms Data Mining LaTeX Artificial Intelligence NLP Natural Language Processing Text Mining Machine Translation Social Media Text Normalization                                 ,"Doctor of Philosophy (Ph.D.), Computer Science National University of Singapore","Bachelor's Degree, Computer Science Harbin Institute of Technology", ,Senior ML Engineer Google,Staff ML & NLP Engineer Machine Zone Inc.,Senior Platform NLP Engineer Machine Zone Inc.,Owner & Manager NLP Consultant,Senior ML Engineer,1
304,dmytro-bezushchak-214653162,Python Programming Language MySQL SQL Machine Learning Data Analysis English Microsoft Office Microsoft Excel Python Statistics Data Visualization R Mathematica Analytics Mathematics Econometrics Big Data Data Modeling LaTeX Linear Algebra Stata Macroeconomics Russian Foreign Languages French Spanish APL                         ,"Master of Arts - MA, Economics University of Houston","Master of Arts - MA, Mathematics Université de Toulon","Bachelor's degree, Mathematics Taras Shevchenko National University of Kyiv",Data Scientist/ML Engineer EPAM Systems,Data Scientist/ML Engineer Esports Charts,Software Developer SimCorp,Genesis IT School 7.0 Genesis Tech,Data Scientist/ML Engineer,1
305,yuliya-subotniaya-371558b3,Big Data Analytics Programming Python Algorithms DevOps Cloud Computing Amazon Web Services AWS Infrastructure as code IaC Algorithmic Trading                                           ,"Master of Science (MSc), Finance: Quantitative Finance track University of Amsterdam","Bachelor of Science (BSc), Economics & Business Economics Utrecht University","Bachelor of Science (BSc), International Economics Belarusian State Economic University",ML Engineer JPMorgan Chase & Co.,Specialist MLOps | Analytics & Cognitive Deloitte,Consultant | Analytics & Cognitive Deloitte,Business Analyst | Analytics & Cognitive  Deloitte,ML Engineer,1
306,abinj30,JavaScript Nodejs Data Engineering Big Data Analytics Databases Python Hadoop PySpark DevOps Cloud Computing Extract Transform Load ETL Amazon Web Services AWS NoSQL Docker Microservices AWS Lambda Terraform                                 ,"BCA - Bachelor of Computer Application, Computer Science Bishop Vayalil Memorial Holy Cross College, Cherpunkal P.O., Pala 686 584", , ,Senior Analyst - ML Engineer Tiger Analytics,Associate Analyst Deloitte India (Offices of the US), , ,Senior Analyst - ML Engineer,1
307,rajib-chakravorty-86738b23,Java C JavaScript PHP MySQL Git Machine Learning Data Analysis Software Development Databases Programming C Project Management Python Algorithms TensorFlow OOP Signal Processing Android SDK Bluemix Phonegap Google Compute Cloud                              ,"Diploma in Project Management, Internet Technologies TAFE NSW","Bachelor of Science (B.Sc.), Electrical and Electronics Engineering Bangladesh University of Engineering and Technology","Doctor of Philosophy - PhD, Electrical and Electronics Engineering University of Technology Sydney",Senior ML Engineer/Developer systema AI,Senior Machine Learning Software Developer AusNet Services,Senior ML Engineer Q-CTRL,Research Staff Member IBM,Senior ML Engineer/Developer,1
308,weiwei-ying,Machine Learning Deep Learning Python Algorithms Data Mining Distributed Systems Software Engineering C Natural Language Processing Information Retrieval Scalability Web Ranking                                        ,Master Shanghai Jiao Tong University,Bachelor Tianjin University, ,Sr. Staff ML Engineer Twitter,Software Engineer Facebook,"Senior SDE, SDE Microsoft", ,Sr. Staff ML Engineer,1
309,hbaumann,Java Python Programming Language SQL Git Machine Learning Scala Programming Deep Learning Python Algorithms Scrum Data Science Hadoop Probability Tableau Artificial Intelligence AI Microsoft SQL Server Machine Learning Algorithms Apache Spark TensorFlow Keras Agile Methodologies MapReduce LaTeX C Pandas Software NumPy ScikitLearn Neural Networks SciPy NET Snowflake TransactSQL TSQL Programmation Tortoise SVN OCaml NUnit Distributed systems Unit test Graph theory RealTime Bidding RTB           ,"Master 2, Mathématiques de la Modélisation Université Pierre et Marie Curie","Licence, Master 1, Agrégation, Mathématique, Informatique École normale supérieure de Lyon","MPSI, MP, MP* Lycée Kléber",Senior ML Engineer DataHawk,Senior Data Scientist Smart Ad Monetization Platform,Computer Scientist & Developer Smart Ad Monetization Platform,Professeur aggrégé de Mathématiques Académie de Versailles,Senior ML Engineer,1
310,ali-mahboubi-6953a518a,Python Programming Language Linux Machine Learning Data Analysis C Programming Language Programming C Deep Learning Data Mining Data Analytics Artificial Neural Networks Image Processing OpenCV MATLAB Neural Networks Unsupervised Learning Pattern Recognition Qt Reinforcement Learning OpenGL Supervised Learning CUDA OpenCL Boost                            ,"Master of Science - MS, Artificial Intelligence Shahid Beheshti University","Bachelor of Science - BS, Computer Science Kharazmi University","High School Diploma, Mathematic Sharif University High School",Senior AI/ML Engineer Faraz Sanat Sharif,Artificial Intelligence Engineer Moein Behbood Pars, , ,Senior AI/ML Engineer,1
311,stephanie-schindler,MySQL SQL MongoDB Microsoft Excel Python ElasticSearch R Research Apache Spark Big Data Web Scraping Google Analytics Web Analytics Marketing Mix Modeling Statistische Datenanalyse ECommerce Social Media Monitoring Neurowissenschaften ABTest Maschinelles Lernen                                ,"Master of Science (M.Sc.), Psychology Humboldt University of Berlin", , ,ML Engineer / ML Consultant - Machine Learning Platform Zalando SE,Applied Scientist - Marketing Analytics Zalando SE,"Data Scientist trommsdorff + drüner, innovation + marketing consultants GmbH","Junior Data Scientist trommsdorff + drüner, innovation + marketing consultants GmbH",ML Engineer / ML Consultant - Machine Learning Platform,1
312,chandra-shekhar-kasaudhan-25815115a,Python Programming Language Machine Learning Algorithms Logistic Regression Linear Regression Artificial Neural Networks Image Processing Computer Vision Anaconda Keras MATLAB Simulink LTSpice Convolutional Neural Networks CNN Deep Neural Networks DNN Google Colab Jupyter Linear Algebra Tensorflow Graph Theory                                ,"Bachelor of Technology, Electrical, Electronics and Communications Engineering Indian Institute of Technology, Hyderabad",Class XII Modi Public School - India,"Class X PPJ Saraswati Vihar, Nainital, Uttarakhand",Associate ML Engineer VerSe Innovation,Intern VerSe Innovation,Developer BeeHyv Software Solutions Private Limited,Summer Intern UST Global,Associate ML Engineer,1
313,shobhit-bhatnagar,Java C Linux Machine Learning Programming C Deep Learning Python Data Structures Algorithms Artificial Intelligence AI Research Django Natural Language Processing Ontology Tizen                                    ,"Bachelor of Technology - BTech Indian Institute of Technology, Patna", The Daly College, ,AI/ML Engineer | Siri Understanding  Apple,Software Engineer II Snaptrude,"Software Engineer, Data Intelligence Group Samsung Electronics","Research Assistant | AI-NLP-ML Group Indian Institute of Technology, Patna",AI/ML Engineer | Siri Understanding ,1
314,anjanaumapathy,Java C JavaScript Python Programming Language MySQL SQL Git HTML Big Data Analytics Machine Learning Data Analysis Scala Programming Microsoft Office Deep Learning Algorithms Data Mining Natural Language Processing NLP Data Science Hadoop Computer Vision Artificial Intelligence AI Apache Spark TensorFlow Keras ScikitLearn Natural Language Processing Bash Clojure                       ,"Bachelor’s Degree, Computer Science PES Institute of Technology",Secondary Education - CBSE National Academy For Learning,High School - ICSE Cluny Convent High School,Sr. Applied AI/ML Engineer JPMorgan Chase & Co.,Data Science Intern Adobe,Graduate Research Assistant Carnegie Mellon University,Software Design Engineer II SAP Concur,Sr. Applied AI/ML Engineer,1
