,id,skills,edu_1,edu_2,edu_3,org_1,org_2,org_3,org_4,organization_title_1,label
169,niuchenna,Java JavaScript Python Programming Language MySQL AngularJS Nodejs SQL Git Software Development Scala Databases Programming Software Project Management Apache Spark Apache Kafka Web Services Java Enterprise Edition JUnit Spring Boot JPA Maven RESTful WebServices Object Oriented Design Design Patterns Swagger API Tomcat Jenkins docker javascript Mysql Jersey TDD Maven Mockito                  ,"Master of Science - MS, Computer Science Prairie View A&M University","Bachelor of Engineering (B.Eng.), Materials and Metallurgical Engineering Federal University of Technology Owerri", ,ML Engineer Apple,Software Engineer Intern Apple,Assistant Manager Nigeria Inter-Bank Settlement Systems PLC,Software Engineer Esofties Solution Limited,ML Engineer,1
170,arpitdwivedi27,Java C Cascading Style Sheets CSS Linux HTML C Deep Learning Python Natural Language Processing NLP Predictive Modeling Logistic Regression Linear Regression Support Vector Machine SVM Decision Trees Microsoft SQL Server C jQuery Version Control ASPNET MVC Core Java Reinforcement Learning Probabilistic Models Jenkins Embedded C Hypothesis Testing Random Forest ASPNET Web API Tortoise SVN BMC Remedy Ticketing System                       ,"Post Graduate Diploma, Machine Learning and Artificial Intelligence International Institute of Information Technology Bangalore","Bachelor of Technology - BTech, Electronics and Communications Engineering Greater Noida Institute of Technology(GNIOT)",Nursery - XII HAL School,AI/ML Engineer Unisys,Software Engineer Infotech Global Inc.,Summer Intern Hindustan Aeronautics Limited, ,AI/ML Engineer,1
171,alyona-slastin-b900a7124,SQL Microsoft Word Microsoft Office C Microsoft Excel Python PowerPoint R PySpark Power BI C Matplotlib NumPy ScikitLearn Photoshop Pandas Plotly Pyspark            Shiny                      ,"Master's degree, Informatics National Aerospace University -'Kharkiv Aviation Institute'​","Bachelor's degree, Informatics National Aerospace University -'Kharkiv Aviation Institute'​", ,ML Engineer SoftServe,Intermediate Data Analyst SoftServe,Junior Data Analyst SoftServe,Аналитик STV group,ML Engineer,1
172,harshparikh1001,Java C MySQL SQL Linux Big Data Analytics Machine Learning Scala C MongoDB Deep Learning Python Data Science Hadoop Tableau Research Apache Spark TensorFlow Keras Cloud Computing Amazon Web Services AWS Django Spark Amazon EC DBMS Pandas CCNA AWS Elasticsearch Amazon SQS Web Crawling                     ,"Master of Science (M.S.), Computer Science Illinois Tech","Self Driving Car Engineer, Autonomous Vehicles Udacity","Deep learning Engineer Nanodegree, AI/Deep Learning Udacity",Senior ML Engineer/Data Scientist ResMed,Machine Learning Engineer III Proofpoint,Data Scientist II Proofpoint,Data Scientist I Proofpoint,Senior ML Engineer/Data Scientist,1
173,vivek-kaul-9600441,Java C Machine Learning Programming C Python Algorithms Data Mining Statistics R Image Processing Statistical Modeling Matlab Computer Vision MATLAB Neural Networks NLP Pattern Recognition NeuroLinguistic Programming NLP SAS programming SASSQL Search Engine Ranking Query Understanding                             ,"Masters, Aerospace Engineering Georgia Institute of Technology","Bachelors Indian Institute of Technology, Bombay",High School Delhi Public School - R. K. Puram,Principal ML Engineer Apple,Co Founder The Young Socratics,Principal ML Engineer Walmart eCommerce,Senior Data Scientist Facebook,Principal ML Engineer,1
174,junxielink,Java C Machine Learning C API Development Python Algorithms Data Mining Statistics Hadoop Apache Pig Image Processing Matlab OpenCV Computer Vision TensorFlow Distributed Systems RESTful WebServices Pattern Recognition Information Retrieval Recommender Systems Signal Processing Team Building Image Analysis ITK BioMedical Image Analysis                          ,"Ph. D., Electronic Engineering The Chinese University of Hong Kong", , ,Staff ML Engineer Twitter,Staff Software Engineer LinkedIn,Principal Software Engineer Walmart eCommerce,Lead Computer Scientist GE,Staff ML Engineer,1
175,juyeong-lee-a7b9a9b5,Java Linux Big Data Analytics Machine Learning Data Mining Hadoop R Matlab Operations Research deep learning CPLEX  Distributed Algorithms                                       ,"Master's degree, Industrial & Systems Engineering Korea Advanced Institute of Science and Technology","Bachelor's degree, Industrial & Systems Engineering Korea Advanced Institute of Science and Technology", ,ML Engineer & Data scienctist SK Telecom,"Research Engineer LG Electronics, Production engineering Research Institute", , ,ML Engineer & Data scienctist,1
176,jai-balaji-sukumar-2707,MySQL AngularJS Web Development Machine Learning Data Analysis MongoDB Python Natural Language Processing NLP Hadoop Apache Spark Predictive Analytics Agile Methodologies Android Development Web Applications Java Enterprise Edition ScikitLearn Spring Boot RESTful WebServices NLTK Flask Docker Microservices SQLite Oracle Database RDBMS Recommender Systems JIRA EJB SOAP Representational State Transfer REST Jenkins REST API Transfer Learning Cluster Analysis WebLogic Trello OLAP RabbitMQ Elastic Stack ELK Spring Batch Fluentd Active Learning          ,"Master's degree, Applied Computing Wilfrid Laurier University","Master of Science (MSc), Information Technology College of Engineering, Guindy", Anna Gem,Principal ML Engineer PredictNow.ai Inc,"Software Development Lead, Innovation Deloitte Canada",Software Product Prototyper Coop Deloitte Consulting,Software Product and Platform Analyst Accenture in India,Principal ML Engineer,1
177,danialraza,Java C PHP MySQL SQL HTML Machine Learning Software Development Databases Programming C ObjectOriented Programming OOP MongoDB Deep Learning Python Matlab Microsoft SQL Server Relational Databases Software Engineering Artificial Intelligence Android Development C OOP Eclipse Android Visual Studio Text Analytics Natural Language Processing NET CodeIgniter Text Classification IBM BPM Machine Translation                   ,"Bachelor of Science (BS), Computer Science (CS) National University of Computer and Emerging Sciences","Intermediate, Pre-Engineering D.J. Govt. Science College","Matriculation, Medical Science B.V.S Parsi High School Karachi",ML Engineer Data​:Lab Munich ,ML Engineer (Working-Student) Data​:Lab Munich ,Data Scientist (Working-Student) smartpatient,"Software Engineer iSky, Inc.",ML Engineer,1
178,vida-bandara,Java C MySQL SQL Linux Big Data Analytics Machine Learning Software Development Scala Microsoft Azure Deep Learning Python Algorithms Statistics Data Science Data Analytics Statistical Data Analysis Statistical Modeling Matlab Machine Learning Algorithms Apache Spark Predictive Analytics TensorFlow Big Data Distributed Systems Apache Kafka LaTeX ScikitLearn Spring Framework Kubernetes Bash Jupyter Unix Signal Processing Algorithm Design Continuous Integration and Continuous Delivery CICD Elastic Stack ELK Continuous Delivery Continuous Integration Groovy Spock Framework           ,"PhD, Electrical and Computer Engineering Colorado State University","MSc, Computer Science St. Cloud State University","BSc, Electrical and Electronic Engineering University of Peradeniya",Staff ML Engineer Mosaic,Staff Data Scientist Blue Yonder,Software Engineer CA Technologies,Graduate Assistant (Research and Teaching) Colorado State University,Staff ML Engineer,1
