,id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
24,soheljagirdar,Machine Learning,Leadership,Deep Learning,Data Science,Computer Vision,Artificial Intelligence AI,Amazon Web Services AWS,Matplotlib,Pandas Software,Flask,Jupyter,Data Pipelines,GitHub,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
25,mahfoos-ahamed-403a70192,JavaScript,Python Programming Language,PHP,MySQL,HTML,Microsoft Word,Software Development,Databases,java,Adobe Photoshop,Microsoft Excel,BackEnd Web Development,Cloud Computing,Amazon Web Services AWS,IT Management,Spring Framework,Web Design,Spring Boot,Frontend Development,JavaFX,Career Management,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
26,manish-sharma-355ba3189,Python Programming Language,Machine Learning,Data Analysis,C Programming Language,Programming,C,Deep Learning,Arduino,Natural Language Processing NLP,Data Science,Data Analytics,Tableau,OpenCV,Machine Learning Algorithms,Business Strategy,Matplotlib,Pandas Software,NumPy,ScikitLearn,Neural Networks,Jupyter,Mentoring,Coaching Mentoring,Peer Mentoring,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
27,tharindu-harith-withana-97243b175,JavaScript,Python Programming Language,Machine Learning,C Programming Language,Programming,C,Data Structures,Data Science,Tableau,KNearest Neighbors KNN,Image Processing,TensorFlow,C,Visual Studio,Core Java,Recurrent Neural Networks RNN,Oracle Database,Spring MVC,Database Management System DBMS,SQL Server Management Studio,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
28,karryharsh,Java,Python Programming Language,python,Linux,Machine Learning,Data Analysis,C Programming Language,Programming,java,C,Microsoft PowerPoint,Deep Learning,Algorithms,Github,Data Visualization,Data Science,Image Processing,Matlab,Computer Vision,Artificial Intelligence AI,Anaconda,Machine Learning Algorithms,PyTorch,Engineering,Matplotlib,Pandas Software,NumPy,ScikitLearn,Seaborn,Jupyter,keras,Embedded C,Intelligence,Temenos T,Design Studio,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
29,girish-sathyanarayana-b2a51b19,Java,SQL,Linux,Machine Learning,Software Development,Programming,Python,Statistics,Data Science,Hadoop,Hive,Apache Pig,Mathematical Modeling,Stochastic Modeling,Apache Spark,Distributed Systems,Optimization,Algorithm Design,Probability Theory,Adtech,vowpal wabbit,RealTime Bidding,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
30,amila-akalanka-ariyasena,Java,Python Programming Language,PHP,MySQL,Cascading Style Sheets CSS,SQL,HTML,Microsoft Word,Data Engineering,Data Analysis,Microsoft Azure,Microsoft Office,Adobe Photoshop,Teamwork,Leadership,Microsoft Excel,Microsoft PowerPoint,Adobe Illustrator,Tableau,Statistical Data Analysis,Analytical Skills,Management,Microsoft Power BI,Microsoft SQL Server,R Programming Language,Business Intelligence BI,Data Modeling,PostgreSQL,SQL Server Integration Services SSIS,SQL Server Analysis Services SSAS,AutoCAD,Geographic Information Systems GIS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
31,amila-viraj,Java,C,MySQL,Machine Learning,Databases,Deep Learning,BackEnd Web Development,Python,Data Science,Artificial Intelligence AI,TensorFlow,PyTorch,Keras,Spring Framework,Web Design,Spring Boot,Hibernate,JPA,Maven,RESTful WebServices,Angular,NLP,NLTK,Computer Vision with OpenCV,Koreai,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
32,vetrivel-ps,Java,JavaScript,Python Programming Language,MySQL,SQL,HTML,Machine Learning,Deep Learning,Python,Data Science,Exploratory Data Analysis,Predictive Analytics,jQuery,Windows,Matplotlib,Hibernate,NLP,Microsoft Azure Machine Learning,JSP,Blogging,Struts,Technical Writing,Servlet,Building ML Models,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
33,nuwan-rathnayaka-8464a8a7,Java,JavaScript,MySQL,HTML,Cascading Style Sheets CSS,SQL,Web Development,Git,Linux,HTML,Machine Learning,Microsoft Azure,Teamwork,ObjectOriented Programming OOP,Reactjs,MongoDB,Angular,Deep Learning,Python,Data Structures,Data Visualization,Data Science,Time Series Analysis,Computer Vision,TensorFlow,Ubuntu,Keras,Agile Methodologies,Amazon Web Services AWS,Django,jQuery,FullStack Development,Neural Networks,Microsoft Azure Machine Learning,Flask,TypeScript,Jupyter,Nginx,Continuous Integration and Continuous Delivery CICD,Microsoft Bot framework,react,Single Page Applications,Storybooks,redux,nan,nan,nan,nan,nan,nan,nan,
34,nethmi-chethika-de-silva,Java,MySQL,python,Data Analysis,Microsoft Office,Teamwork,Statistics,R,Statistical Data Analysis,Statistical Modeling,Matlab,Minitab,SPSS,Mathematics,Mathematical Modeling,Survey Design,TORA,Mathematical Programming,Computational Mathematics,Statistical Programming,Multivariate Statistics,Interpersonal Skills,Academic Writing,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
35,psvishnu,Java,Python Programming Language,MySQL,Cascading Style Sheets CSS,SQL,Git,HTML,Machine Learning,Data Analysis,C Programming Language,Microsoft Office,Leadership,C,ObjectOriented Programming OOP,Microsoft Excel,Deep Learning,Python,Data Structures,Algorithms,Statistics,Data Science,Data Analytics,Tableau,Statistical Data Analysis,Matlab,Computer Vision,Microsoft SQL Server,Exploratory Data Analysis,Apache Spark,Predictive Analytics,PyTorch,Spark,ScikitLearn,Applied Machine Learning,Neural Networks,JSON,Supervised Learning,TransactSQL TSQL,Machine learning,Personal Development,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
36,thilina-kariyawasam,Java,C,Python Programming Language,SQL,Linux,Machine Learning,Data Analysis,Software Development,Programming,Microsoft Office,Leadership,C,Microsoft Excel,Algorithms,Hadoop,Research,Apache Spark,Oracle SQL Developer,Data Modeling,Database Development,Data Warehousing,Software Engineering,Electrical Engineering,Networking,OOP,Eclipse,Pandas Software,ScikitLearn,Photoshop,Embedded Systems,Oracle Database,pandas,numpy,Design Thinking,Power Generation,Power Transmission,Power Protection,Baseball,Cricket,IT Service Management,oracle sql,oracle plsql,Investment Strategies,Personal Finance,Internet Technologies,nan,nan,nan,nan,nan,nan,
37,nimesh-buddhika-weerasinghe-8494a1109,JavaScript,HTML,Cascading Style Sheets CSS,Bootstrap,Nodejs,Linux,Machine Learning,Data Analysis,English,Microsoft Office,Leadership,C,Microsoft Excel,Expressjs,Algorithms,Team Leadership,Data Science,Matlab,RESTful WebServices,GNU Octave,Proteus,Reduxjs,Computer Networking,Wireshark,Kali Linux,Redux Thunk,Research Projects,Nmap,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
38,dharmendra-iiitg,Java,C,MySQL,SQL,Machine Learning,Microsoft Office,C,MongoDB,Deep Learning,Python,Data Structures,Apache Spark,TensorFlow,Artificial Intelligence,java programming,Algorithm Design,Unix Shell Scripting,C programming language,usable Security,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
39,arka402,C,SQL,Machine Learning,Microsoft Office,Teamwork,Leadership,Public Speaking,Project Management,Microsoft Excel,Python,Arduino,Team Leadership,Statistics,Data Science,Data Analytics,Statistical Data Analysis,Matlab,Management,Business Analysis,NI Multisim,Event Management,R Studio,ModelSim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
40,anjanasenanayake,Java,C,JavaScript,Python Programming Language,Nodejs,SQL,Git,Machine Learning,Microsoft Azure,Reactjs,MongoDB,Natural Language Processing NLP,Artificial Neural Networks,TensorFlow,Keras,Android Development,ScikitLearn,RESTful WebServices,Flask,Azure DevOps,Computer Networking,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
41,vasu-lakkaraju,Java,C,MySQL,SQL,Git,Linux,Machine Learning,Software Development,Databases,Programming,Software Development Life Cycle SDLC,Microsoft Excel,Deep Learning,Python,Statistics,Predictive Modeling,R,Tableau,Management,Team Management,Microsoft SQL Server,Business Analysis,Apache Spark,Big Data,Extract,Transform,Load ETL,Agile Methodologies,Shell Scripting,Amazon Web Services AWS,Data Warehousing,Artificial Intelligence,Requirements Analysis,Neural Networks,Business Intelligence,Oracle Database,Regression Models,Text Mining,Oracle,PLSQL,JIRA,Unix,Testing,Informatica,MS SQL Server,Red Hat Linux,Performance Tuning,Informatica x,Oracle g,MS Access,Tensor flow,Block chain : 2
42,amolamale,Python Programming Language,SQL,Machine Learning,Data Analysis,Programming,Microsoft Excel,Deep Learning,Algorithms,Data Mining,Statistics,Data Science,Data Analytics,Predictive Modeling,R,Logistic Regression,Linear Regression,Support Vector Machine SVM,Decision Trees,Time Series Analysis,Statistical Data Analysis,Statistical Modeling,Minitab,Analytical Skills,Analytics,Bayesian statistics,Predictive Analytics,Regression Analysis,SAS Programming,Engineering,SAS,MATLAB,Statistical Process Control SPC,Applied Machine Learning,Convolutional Neural Networks CNN,Statistical Analysis,Quantitative Analytics,Statistical Programming,Statistical Computing,Statistical Consulting,Descriptive Analysis,Clinical Trials,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
43,harindu-ashan-849373115,Java,C,Python Programming Language,Microsoft Word,Machine Learning,Microsoft Office,Leadership,Project Management,Microsoft Excel,Microsoft PowerPoint,Customer Service,Data Structures,Arduino,Data Science,Image Processing,Matlab,Artificial Intelligence AI,Research,Management,SolidWorks,Altium,Apache,Digital Signal Processing,Diversity Inclusion,Verilog,Android Studio,Robotics,AutoCAD,Internet of Things,Financial Accounting,Mqtt,Proteus,Career Management,Selfconfidence,Confidence Building,Productivity Improvement,APM,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
44,seshathiri-dhanasekaran-,Big Data Analytics,Machine Learning,Data Analysis,Programming,Project Management,Deep Learning,Python,Data Science,Data Analytics,Predictive Modeling,Hadoop,R,Artificial Neural Networks,Analytical Skills,Management,Analytics,Mathematical Modeling,Apache Spark,Predictive Analytics,TensorFlow,PyTorch,Keras,Big Data,Data Modeling,Caffe,Artificial Intelligence,Neural Networks,Business Intelligence,Convolutional Neural Networks CNN,Natural Language Processing,Apache Flink,Blockchain,Internet of Things,Knime,RNN,Ruby,Ethereum,Data Quality,Microsoft Cognitive Toolkit CNTK,watson analytics,mLearning,bigml,Salesforce Training,prediction io,Apache Singa,PredictionIO,Apache Mahout,nan,nan,nan,nan,
45,poorni-wickramarathne-b11b17159,Java,MySQL,SQL,Machine Learning,Data Analysis,Microsoft Azure,Teamwork,Leadership,Microsoft Excel,Microsoft PowerPoint,Python,Team Leadership,Data Visualization,Data Science,Hadoop,Tableau,Microsoft Power BI,Microsoft SQL Server,Machine Learning Algorithms,DevOps,Cloud Computing,Extract,Transform,Load ETL,Amazon Web Services AWS,Relational Databases,Apache Kafka,Database Development,ETL Tools,Data Warehousing,Communication,NoSQL,SQL Server Reporting Services SSRS,Azure Data Factory,Azure Data Lake,Oracle Database,RDBMS,Weka,Database Design,Accountability,Regression Models,SQL Server Integration Services SSIS,tableau,Big data,Excel Pivot,Informatica PowerCenter,Data Warehouse Architecture,Talend Open Studio,nan,nan,nan,
46,md-marghub-akhtar-821b3087,C,MySQL,SQL,Microsoft Word,Machine Learning,Data Analysis,Teamwork,Public Speaking,Microsoft Excel,Customer Service,Natural Language Processing NLP,Predictive Modeling,Research,Management,Team Management,Google Cloud Platform GCP,Predictive Analytics,NLTK,Text Mining,DBMS,JIRA,Self Learning,Training,Looker Software,Data Visualisation,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
47,sathurshan-matheews-ba84a1148,Java,JavaScript,PHP,MySQL,Cascading Style Sheets CSS,SQL,HTML,Microsoft Word,Microsoft Office,Teamwork,Leadership,C,Microsoft Excel,C,Entity Framework,WPF Development,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
48,islijepcevic,Java,C,Git,Linux,Machine Learning,English,Programming,Teamwork,C,Computer Science,Deep Learning,Python,Algorithms,Numerical Analysis,Artificial Neural Networks,Matlab,Mathematical Modeling,Shell Scripting,Software Engineering,LaTeX,Artificial Intelligence,Object Oriented Design,Flask,UML,Bash,Signal Processing,Optimization,High Performance Computing,SWIG,Finite Element Analysis,MPI,Parallel Computing,Parallel Programming,finite element method,Scientific Computing,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
49,yamini-l-04838a133,Python Programming Language,PHP,MySQL,SQL,Git,Linux,HTML,Machine Learning,Programming,Microsoft Office,Leadership,C,ObjectOriented Programming OOP,Project Management,Microsoft Excel,Deep Learning,Python,Data Structures,Algorithms,Team Leadership,Computer Vision,Research,Communication,Organization Skills,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
50,chandanasarikonda,Python Programming Language,MySQL,Machine Learning,Natural Language Processing NLP,Data Science,Tableau,Django,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
51,ramana-polavarapu-94854a75,Java,C,Linux,Machine Learning,Software Development,C,Computer Science,Python,Algorithms,Data Science,Hadoop,Distributed Systems,Agile Methodologies,Software Engineering,Software Design,Perl,Unix,Scalability,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
52,andrew-naumovich-5559ab123,Python,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
53,atmadeep-banerjee,Java,C,Machine Learning,Deep Learning,Python,Artificial Neural Networks,Computer Vision,TensorFlow,Keras,Artificial Intelligence,Convolutional Neural Networks CNN,UnityD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
