,id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
46,wikasitha-s-herath-a47b07118,Java,Python Programming Language,MySQL,SQL,Linux,Machine Learning,Data Analysis,Scala,Databases,C Programming Language,Teamwork,ObjectOriented Programming OOP,Team Leadership,Data Science,Hive,Google Cloud Platform GCP,Docker Products,Big Data,Cloud Computing,Data Modeling,Database Administration,Agile Methodologies,MapReduce,Amazon Web Services AWS,Relational Databases,Serverless Computing,Agile Application Development,Apache Kafka,Cloud Administration,Hadoop Administration,Database Development,Cloud Development,Networking,Cybersecurity,Kubernetes,Docker,Bash,Database Management System DBMS,Agile Project Management,Red Hat Enterprise Linux RHEL,Linux System Administration,hadoop,Cloud Security,nan,nan,nan,nan,nan,nan,nan,nan,
47,sadini-kumarasiri,Machine Learning,Databases,Data Mining,Data Warehousing,Database Management System DBMS,RDBMS,Information Retrieval,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
48,keshani-dinushika-7b976117b,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
49,hemantha-marasinghe-74910a171,Java,Python Programming Language,SQL,Machine Learning,Hadoop,Google Cloud Platform GCP,R Programming Language,Apache Spark,Shell Scripting,Amazon Web Services AWS,Data Warehousing,SQL Server Reporting Services SSRS,SQL Server Management Studio,SQL Server Integration Services SSIS,IBM Db,Crystal Reports,IBM AIX,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
50,sheranga-gamwasam,Python Programming Language,MySQL,Git,Microsoft Word,Microsoft Excel,BackEnd Web Development,Data Mining,Numerical Analysis,Statistics,Data Visualization,Data Science,Data Analytics,Analytical Skills,Microsoft Power BI,Amazon Web Services AWS,Pandas Software,Microsoft Azure Machine Learning,R programming,Google Analytics,AWS Lambda,machine learning,software development in java,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
51,chathurangi-shyalika-1b89229b,Java,C,JavaScript,PHP,SQL,HTML,Data Engineering,Machine Learning,Data Analysis,Software Development,Microsoft Azure,Programming,Microsoft Office,Leadership,C,ObjectOriented Programming OOP,Project Management,Reactjs,MongoDB,Python,Data Science,Data Analytics,Research,Apache Spark,Amazon Web Services AWS,Apache Kafka,C,JavaSE,Ionic Framework,Java Enterprise Edition,Prolog,ASPNET,Hibernate,Maven,Azure Data Lake,SQLite,JavaServer Pages JSP,Spring MVC,DBMS,Struts,Blockchain,Human Resources,Angular,MAVEN,azure,Azure ML,XACML,Web Services Description Language WSDL,Pagemaker,Azure AI,nan,
52,nethmi-weerarathne-096413187,Python Programming Language,Data Analytics,Cloud Computing,Amazon Web Services AWS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
53,oshada-ranasinghe-694697164,Java,Python Programming Language,Machine Learning,Microsoft Azure,Arduino,Extract,Transform,Load ETL,Amazon Web Services AWS,Data Warehousing,MATLAB,Azure Data Factory,Azure Data Lake,Raspberry Pi,Data Pipelines,Azure Databricks,Internet of Things IoT,Pipelines,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
54,rajitha-fernando,JavaScript,Python Programming Language,PHP,Nodejs,SQL,Linux,Data Engineering,Big Data Analytics,Data Analysis,Programming,Teamwork,Leadership,Reactjs,Data Science,ElasticSearch,Hadoop,Apache Pig,Tableau,Management,Apache Spark,PySpark,TensorFlow,Big Data,Extract,Transform,Load ETL,Communication,Matplotlib,Pandas Software,NumPy,ScikitLearn,PostgreSQL,Seaborn,React Native,Cloudera Impala,Neoj,Logstash,Kibana,Rasa Platform,Informatica PowerCenter,Informatica Administration,Informatica BDM,nan,nan,nan,nan,nan,nan,nan,nan,nan,
55,omal-cooray-79900913b,Java,Python Programming Language,SQL,Scala,C Programming Language,Teamwork,Leadership,ObjectOriented Programming OOP,Team Leadership,Apache Kafka,Teaching,Docker,Functional Programming,Kafka Connect,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
