,id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
233,thegupta,Java,C,MySQL,SQL,python,Linux,HTML,Machine Learning,Data Analysis,C,Microsoft Excel,Deep Learning,R,Matlab,Computer Vision,Artificial Intelligence AI,Research,Natural Language Processing,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
234,hamender-singh-rathore-04805a55,Java,Python Programming Language,Linux,Machine Learning,Python,Data Science,Core Java,NLP,Natural Language Processing,Long Shortterm Memory LSTM,ML,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
235,abhishek-singh-kushwaha,Java,C,JavaScript,Python Programming Language,MySQL,Cascading Style Sheets CSS,Nodejs,Git,HTML,Machine Learning,Reactjs,MongoDB,Expressjs,Natural Language Processing NLP,Data Visualization,R,Tableau,Forecasting,Data Modeling,Web Scraping,Flask,Oracle Database,Text Mining,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
236,codehax41,Java,Python Programming Language,SQL,Web Development,Machine Learning,Data Analysis,Software Development,Problem Solving,Leadership,C,ObjectOriented Programming OOP,Deep Learning,Data Structures,Data Mining,Github,Team Leadership,Natural Language Processing NLP,Statistics,Data Visualization,Data Science,Probability,Tableau,Statistical Data Analysis,OpenCV,Computer Vision,TensorFlow,Keras,Neural Networks,NLP,Convolutional Neural Networks CNN,SQLite,Oracle Database,PostgreSQL,Pandas,Object Detection,Long Shortterm Memory LSTM,Algorithm Design,Advanced Excel,Multitasking,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
237,shruti-shah-926050175,SQL,Microsoft Word,Machine Learning,Data Analysis,Microsoft Office,Microsoft Excel,Microsoft PowerPoint,Statistics,R,Research,Big Data,Text Analytics,SAP HANA,rshiny,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
238,piyushmishra908,C,Python Programming Language,PHP,Cascading Style Sheets CSS,Bootstrap,SQL,HTML,Big Data Analytics,Machine Learning,Data Analysis,Microsoft Office,Teamwork,Leadership,C,Deep Learning,Python,Statistics,Data Science,R,Matlab,Computer Vision,Management,Strategic Planning,Project Planning,Artificial Intelligence,Calculus,Linear Algebra,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
239,dinuka-nicholas,Java,JavaScript,Data Analysis,Microsoft Office,Teamwork,Leadership,Project Management,Microsoft Excel,Python,Team Leadership,Statistics,R,Statistical Modeling,SPSS,Analytical Skills,Research,Analytics,Survey Design,Perl,Team Motivation,Psychometrics,Project Delivery,Employee Training,Data Segmentation,Sawtooth,Survey Research,Employee Surveys,Survey Methodology,Customer Surveys,Online Survey Design,Due Diligence,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
240,shivang-singhal-88926666,Java,C,SQL,Machine Learning,Software Development,Scala,Deep Learning,Python,Data Structures,Algorithms,Data Mining,R,Image Processing,Matlab,OpenCV,Computer Vision,Apache Spark,TensorFlow,Big Data,LaTeX,Natural Language Processing,Reinforcement Learning,Multimedia Systems,Image and Video Processing,caffe,Deep Reinforcement Learning,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
241,sandhaya4u,Java,C,JavaScript,MySQL,SQL,Machine Learning,Data Analysis,Problem Solving,C Programming Language,Programming,Microsoft Office,MongoDB,Microsoft Excel,Customer Service,Deep Learning,Python,Data Structures,Algorithms,Data Mining,Data Visualization,PowerPoint,Hadoop,Tableau,Statistical Modeling,Critical Thinking,Management,Microsoft Power BI,Business Analysis,Machine Learning Algorithms,Oracle SQL Developer,TensorFlow,Apache,Big Data,Cloud Computing,Distributed Systems,MapReduce,Communication,Pandas Software,NoSQL,Embedded Systems,Pandas,R programing,HDFS,Team Working,Decission Making,Retention,nan,nan,nan,nan,nan,
242,srihari-nune-899b39146,SQL,Machine Learning,Data Analysis,MongoDB,Deep Learning,Python,Data Science,R,Computer Vision,Natural Language Processing,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
243,kruthi-kiran-h-k-b22303110,MySQL,Machine Learning,Data Analysis,Data Visualization,Predictive Modeling,R,Tableau,Statistical Data Analysis,Minitab,Exploratory Data Analysis,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
244,abhishek-prakash-3ba263194,Python Programming Language,Machine Learning,Deep Learning,Data Science,R,Linear Regression,TensorFlow,Keras,Convolutional Neural Networks CNN,Recurrent Neural Networks RNN,keras,data science,flask,keras,CNN,RNN,CLOUD,Statistics,sql,data mining,azure,analytics,python,classfication,numpy,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
245,srivyshnav-ks,Java,JavaScript,Python Programming Language,HTML,Cascading Style Sheets CSS,SQL,Linux,Machine Learning,Leadership,C,Python,Data Structures,Algorithms,Arduino,Data Science,GNU Octave,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
246,praveen-bharti-028521176,Python Programming Language,SQL,Microsoft Word,Machine Learning,Data Analysis,Microsoft Office,Microsoft Excel,Microsoft PowerPoint,Customer Service,Data Mining,Natural Language Processing NLP,Statistics,Data Visualization,Data Science,Probability,Tableau,Management,Exploratory Data Analysis,Agile Methodologies,Relational Databases,Communication,NumPy,Web Scraping,Flask,PostgreSQL,Supervised Learning,Linear Algebra,pandas,Sentiment Analysis,Dataiku,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
247,rushikesh988,Java,C,Git,Linux,Machine Learning,Data Analysis,C,Deep Learning,Python,Data Mining,Data Science,Image Processing,Matlab,OpenCV,Computer Vision,TensorFlow,Amazon Web Services AWS,Artificial Intelligence,C,Digital Signal Processing,Natural Language Processing,Google Cloud Platform,UnityD,Game Development,CUDA,Windows Azure,GPGPU,IBM Bluemix,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
248,bisarga-panda-b06b1589,Python Programming Language,SQL,Machine Learning,Data Analysis,Programming,Microsoft Excel,Data Mining,Statistics,PowerPoint,R,Logistic Regression,Linear Regression,Artificial Neural Networks,Decision Trees,Statistical Modeling,R Programming Language,Text Mining,Statistica,Team Player,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
249,vicky-gupta-583016168,Python Programming Language,MySQL,SQL,HTML,Machine Learning,Microsoft Azure,C Programming Language,Teamwork,C,Microsoft Excel,Deep Learning,Data Structures,Data Mining,Natural Language Processing NLP,Statistics,Data Visualization,Data Science,Data Analytics,Predictive Modeling,Logistic Regression,Linear Regression,Artificial Neural Networks,Support Vector Machine SVM,Tableau,Time Series Analysis,Statistical Modeling,Computer Vision,Artificial Intelligence AI,Anaconda,Google Cloud Platform GCP,PySpark,TensorFlow,PyTorch,Amazon Web Services AWS,Matplotlib,Pandas Software,NumPy,Neural Networks,NLP,Flask,Seaborn,SciPy,Text Mining,Jupyter,Linear Algebra,Heroku,Segmentation,Data Classification,Gretl,Algebra,nan,
250,abhishek-sharma-a9161567,Java,C,JavaScript,MySQL,XML,HTML,Machine Learning,Programming,C,Computer Science,MongoDB,Python,Data Structures,Algorithms,Decision Trees,General Linear Models,Software Engineering,Android Development,OOP,Eclipse,Matplotlib,Neural Networks,Unsupervised Learning,Core Java,JSP,Pandas,IPython,Bayesian methods,Ensemble,Preditctive Analytics,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
251,shahbaj-beg-2b70a910b,Python Programming Language,MySQL,SQL,Data Engineering,Machine Learning,Data Analysis,Microsoft Office,Teamwork,Python,Data Mining,Data Visualization,Data Analytics,Predictive Modeling,R,Logistic Regression,Linear Regression,Tableau,KNearest Neighbors KNN,Statistical Data Analysis,Statistical Modeling,Analytical Skills,Microsoft Power BI,Analytics,Exploratory Data Analysis,Forecasting,Data Modeling,Communication,DecisionMaking,ScikitLearn,Seaborn,Pandas,Data Wrangling,Data Manipulation,Demand Forecasting,Insight Generation,Manufacturing Operations,Advance Excel,Logical Data Modeling,Data Munging,Data cleaning,Data preprocessing,Exploratory data analysis,Business inMatelligen,Consumer Insight Generation,Numpy,Decision Tree,Bagging,Boosting,kmeans clustering,Trend Forecasting,nan,
252,tamilselvan15,Python Programming Language,SQL,Machine Learning,Data Analysis,ObjectOriented Programming OOP,Deep Learning,Data Science,R,Statistical Data Analysis,Statistical Modeling,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
253,kritisahu,JavaScript,Python Programming Language,SQL,python,Linux,HTML,Machine Learning,Microsoft Office,CSS,Deep Learning,Algorithms,Natural Language Processing NLP,Data Visualization,Data Science,Predictive Modeling,Artificial Neural Networks,OpenCV,Computer Vision,Artificial Intelligence AI,Django,NumPy,ScikitLearn,Neural Networks,c,SciPy,keras,Neoj,pandas,Unix,Image processing,data structure,pytorch,git,Selenium,SWIG,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
254,nishant-babel-5141283a,C,SQL,HTML,Microsoft Word,Machine Learning,Data Analysis,Programming,Microsoft Office,Teamwork,C,Microsoft Excel,PowerPoint,R,Statistical Data Analysis,Matlab,Research,Analysis,Market Research,Team Management,SAS,Social Services,AutoCAD,GNU Octave,Business Analytics,Security Analysis,Portfolio Management,Principles of Economics,Principles of Finance,Decision Sciences,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
